nsmoid,weight,hispan,race,mortgage_reason,sale_proceeds,savings_retire_etc,govt_np_asst,second_lien_heloc,gift,seller_cont,total_hh_inc,race_eth
308536,920.116582914573,2,1,1,1,1,0,0,0,2,2,White
308537,1713.5919025522,2,1,1,2,1,0,0,0,2,6,White
308538,1650.82595238095,2,2,2,-2,0,0,0,0,-2,2,Black
308539,785.563414634146,2,1,2,-2,0,0,0,0,-2,4,White
308540,937.545099337748,2,1,2,-2,0,0,0,0,-2,3,White
308541,700.158235294117,2,1,1,2,1,0,0,0,1,3,White
308542,1460.40467391304,2,1,1,2,1,0,0,0,1,2,White
308543,848.22081300813,1,1,1,2,1,0,0,1,2,4,Hispanic
308544,928.587975460122,2,1,1,1,0,0,0,0,2,4,White
308545,718.542985074626,2,1,1,2,0,0,0,0,2,2,White
308546,648.307522123893,2,1,1,1,1,0,0,0,2,6,White
308547,882.352606060606,2,1,1,2,1,0,0,0,2,3,White
308548,666.955107692307,2,1,1,1,0,0,0,0,2,1,White
308549,878.747368421052,2,1,1,2,1,0,0,0,2,4,White
308550,1028.74925806451,2,2,1,2,1,0,0,1,2,3,Black
308551,903.160580357142,1,4,1,2,1,0,0,0,2,5,Hispanic
308552,735.379641255605,2,1,1,2,0,0,0,0,1,2,White
308553,559.157456445993,2,1,1,2,1,0,0,0,2,3,White
308554,1208.76941080196,1,1,2,-2,0,0,0,0,-2,6,Hispanic
308555,1033.79522012578,2,1,1,1,0,0,0,0,2,3,White
308556,1292.92058823529,1,1,5,-2,0,0,0,0,-2,2,Hispanic
308557,928.587975460122,2,1,1,2,1,0,0,0,2,4,White
308558,2580.3084057971,1,4,2,-2,0,0,0,0,-2,5,Hispanic
308559,1674.16653061224,2,1,2,-2,0,0,0,0,-2,5,White
308560,1713.5919025522,2,1,2,-2,0,0,0,0,-2,3,White
308561,1437.58727477477,2,1,3,-2,0,0,0,0,-2,2,White
308562,921.287441860465,2,1,1,1,0,0,0,0,2,6,White
308563,976.768,2,1,2,-2,0,0,0,0,-2,5,White
308564,3482.6041025641,1,1,1,2,1,0,0,0,2,4,Hispanic
308565,507.918926174496,2,1,1,2,0,1,0,0,2,2,White
308566,538.198736842105,2,1,1,1,0,0,0,0,2,5,White
308567,580.189549549549,2,1,1,1,1,0,0,0,2,3,White
308568,587.704919614148,2,2,2,-2,0,0,0,0,-2,3,Black
308569,686.359578947368,2,1,2,-2,0,0,0,0,-2,2,White
