"","derived_msa_md","metrodivisioncode","csacode","cbsatitle","metropolitanmicropolitanstatis","metropolitandivisiontitle","csatitle","countycountyequivalent","statename","fipsstatecode","fipscountycode","centraloutlyingcounty","county_fips","race_msa","msa","county_fips_race"
"74",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Pickens County","Georgia",13,227,"Outlying","13227","black",0.161841363764441,"13227_b"
"75",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Pickens County","Georgia",13,227,"Outlying","13227","tot",0.107818491150555,"13227_t"
"76",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Pike County","Georgia",13,231,"Outlying","13231","white",0.0660316643068606,"13231_w"
"77",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Pike County","Georgia",13,231,"Outlying","13231","black",0.161841363764441,"13231_b"
"78",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Pike County","Georgia",13,231,"Outlying","13231","tot",0.107818491150555,"13231_t"
"79",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Rockdale County","Georgia",13,247,"Central","13247","white",0.0660316643068606,"13247_w"
"80",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Rockdale County","Georgia",13,247,"Central","13247","black",0.161841363764441,"13247_b"
"81",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Rockdale County","Georgia",13,247,"Central","13247","tot",0.107818491150555,"13247_t"
"82",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Spalding County","Georgia",13,255,"Central","13255","white",0.0660316643068606,"13255_w"
"83",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Spalding County","Georgia",13,255,"Central","13255","black",0.161841363764441,"13255_b"
"84",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Spalding County","Georgia",13,255,"Central","13255","tot",0.107818491150555,"13255_t"
"85",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Walton County","Georgia",13,297,"Central","13297","white",0.0660316643068606,"13297_w"
"86",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Walton County","Georgia",13,297,"Central","13297","black",0.161841363764441,"13297_b"
"87",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Walton County","Georgia",13,297,"Central","13297","tot",0.107818491150555,"13297_t"
