"","county_fips","raceeth","derived_msa_md","county_fips_race","below_5_county","above_20_county","below_5_msa","above_20_msa"
"32","13047","White",16860,"13047_w",0.333381398702235,0.337130497476568,0.333381398702235,0.337130497476568
"33","13047","Total",16860,"13047_t",0.355293170535355,0.321347108546894,0.355293170535355,0.321347108546894
"34","13051","Black",42340,"13051_b",0.749379652605459,0.0736145574855252,0.749379652605459,0.0736145574855252
"35","13051","White",42340,"13051_w",0.382603406326034,0.310624493106245,0.382603406326034,0.310624493106245
"36","13051","Total",42340,"13051_t",0.454811919882755,0.263963523856049,0.454811919882755,0.263963523856049
"37","13053","Black",17980,"13053_b",0.823353293413174,0.0369261477045908,0.823353293413174,0.0369261477045908
"38","13053","White",17980,"13053_w",0.55560769591741,0.199906147348663,0.55560769591741,0.199906147348663
"39","13053","Total",17980,"13053_t",0.641238429620172,0.147781678902011,0.641238429620172,0.147781678902011
"40","13057","Black",12060,"13057_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"41","13057","White",12060,"13057_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"42","13057","Total",12060,"13057_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"43","13059","Black",12020,"13059_b",0.695652173913043,0.0869565217391304,0.695652173913043,0.0869565217391304
"44","13059","White",12020,"13059_w",0.26468910439247,0.403879064460924,0.26468910439247,0.403879064460924
"45","13059","Total",12020,"13059_t",0.300940438871473,0.377220480668757,0.300940438871473,0.377220480668757
"46","13063","Black",12060,"13063_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"47","13063","White",12060,"13063_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"48","13063","Total",12060,"13063_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"49","13067","Black",12060,"13067_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"50","13067","White",12060,"13067_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"51","13067","Total",12060,"13067_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"52","13073","Black",12260,"13073_b",0.767337807606264,0.0626398210290828,0.767337807606264,0.0626398210290828
"53","13073","White",12260,"13073_w",0.445762711864407,0.26864406779661,0.445762711864407,0.26864406779661
"54","13073","Total",12260,"13073_t",0.534111862323294,0.212046711739398,0.534111862323294,0.212046711739398
"55","13077","Black",12060,"13077_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"56","13077","White",12060,"13077_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"57","13077","Total",12060,"13077_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"58","13079","Black",31420,"13079_b",0.772991850989523,0.0454016298020955,0.772991850989523,0.0454016298020955
"59","13079","White",31420,"13079_w",0.384158415841584,0.293729372937294,0.384158415841584,0.293729372937294
"60","13079","Total",31420,"13079_t",0.524852569502949,0.203875315922494,0.524852569502949,0.203875315922494
"61","13083","Black",16860,"13083_b",0.648648648648649,0.11003861003861,0.648648648648649,0.11003861003861
"62","13083","White",16860,"13083_w",0.333381398702235,0.337130497476568,0.333381398702235,0.337130497476568
"63","13083","Total",16860,"13083_t",0.355293170535355,0.321347108546894,0.355293170535355,0.321347108546894
"64","13085","Black",12060,"13085_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"65","13085","White",12060,"13085_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"66","13085","Total",12060,"13085_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"67","13089","Black",12060,"13089_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"68","13089","White",12060,"13089_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"69","13089","Total",12060,"13089_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"70","13095","Black",10500,"13095_b",0.761410788381743,0.029045643153527,0.761410788381743,0.029045643153527
"71","13095","White",10500,"13095_w",0.494366197183099,0.222535211267606,0.494366197183099,0.222535211267606
"72","13095","Total",10500,"13095_t",0.602348993288591,0.144295302013423,0.602348993288591,0.144295302013423
"73","13097","Black",12060,"13097_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"74","13097","White",12060,"13097_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"75","13097","Total",12060,"13097_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"76","13101","Black",46660,"13101_b",0.858247422680412,0.0438144329896907,0.858247422680412,0.0438144329896907
"77","13101","White",46660,"13101_w",0.529411764705882,0.205882352941176,0.529411764705882,0.205882352941176
